Title	Chapters	Department	Course Title
Dawn of Freedom	Chapter 1. Frederick Douglass’ Speech, Delivered to Abolitionist Friends in 1852 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom	Chapter 2. What does it mean to be American? 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom	Chapter 3. The Story of John Jack 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom	Chapter 4. The Linkage between Freedom and Citizenship 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom	Chapter 5. The History of the Post-Emancipation African American Experience 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom	Chapter 6. Local Events in History 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom (continued)	Chapter 1. Introduction and Recap of Last Class 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom (continued)	Chapter 2. Frances Ellen Watkins Harper Poem: “Bury Me in a Free Land” 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom (continued)	Chapter 3. The Missouri Compromise and the Kansas-Nebraska Act 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom (continued)	Chapter 4. Abraham Lincoln and Slavery 	African American Studies	African American History: From Emancipation to the Present
Dawn of Freedom (continued)	Chapter 5. New York City, the Irish and the Freed Slaves 	African American Studies	African American History: From Emancipation to the Present
Reconstruction	Chapter 1. Introduction: The Reconstruction Era 	African American Studies	African American History: From Emancipation to the Present
Reconstruction	Chapter 2. Chronology of the Reconstruction Era 	African American Studies	African American History: From Emancipation to the Present
Reconstruction	Chapter 3. A Narrative Account of the Reconstruction Era 	African American Studies	African American History: From Emancipation to the Present
Reconstruction	Chapter 4. 1865: The Establishment of Black Codes 	African American Studies	African American History: From Emancipation to the Present
Reconstruction	Chapter 5. Sharecropping: A New Labor System 	African American Studies	African American History: From Emancipation to the Present
Reconstruction	Chapter 6. The Freedmen’s Bureau 	African American Studies	African American History: From Emancipation to the Present
Reconstruction (continued)	Chapter 1. Billie Holliday Song: Strange Fruit 	African American Studies	African American History: From Emancipation to the Present
Reconstruction (continued)	Chapter 2. From Reconstruction to the Rise of Redemption 	African American Studies	African American History: From Emancipation to the Present
Reconstruction (continued)	Chapter 3. Forces used to Eliminate the Black Vote 	African American Studies	African American History: From Emancipation to the Present
Reconstruction (continued)	Chapter 4. Lynching: The Ultimate Form of Racial Harassment 	African American Studies	African American History: From Emancipation to the Present
Reconstruction (continued)	Chapter 5. Images of Lynching 	African American Studies	African American History: From Emancipation to the Present
Uplift, Accommodation, and Assimilation	Chapter 1. Alexander Crummell 	African American Studies	African American History: From Emancipation to the Present
Uplift, Accommodation, and Assimilation	Chapter 2. The Talented Tenth 	African American Studies	African American History: From Emancipation to the Present
Uplift, Accommodation, and Assimilation	Chapter 3. The Uplift Ideology 	African American Studies	African American History: From Emancipation to the Present
Uplift, Accommodation, and Assimilation (continued)	Chapter 1. The Chronological Context for Today’s Lecture 	African American Studies	African American History: From Emancipation to the Present
Uplift, Accommodation, and Assimilation (continued)	Chapter 2. Booker T. Washington and the Politics of Accommodation and Assimilation 	African American Studies	African American History: From Emancipation to the Present
Uplift, Accommodation, and Assimilation (continued)	Chapter 3. W.E.B. Du Bois and the Politics of Accommodation and Assimilation 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization	Chapter 1. Sterling Brown Poem: “Old Lem” 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization	Chapter 2. Organizations that Focused on the Quality of Black Life 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization	Chapter 3. The Great Migration 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization	Chapter 4. D.W. Griffith Film: “The Birth of a Nation” 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization (continued)	Chapter 1. W.E.B. Du Bois Editorial: “Close Ranks” 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization (continued)	Chapter 2. East St. Louis in 1917 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization (continued)	Chapter 3. Chicago in 1919 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization (continued)	Chapter 4. The Start of World War I and Du Bois’ Call to Close Ranks 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization (continued)	Chapter 5. W.E.B. Du Bois Editorial: “Returning Soldiers” 	African American Studies	African American History: From Emancipation to the Present
Migration and Urbanization (continued)	Chapter 6. Claude McKay Poem: If We Must Die 	African American Studies	African American History: From Emancipation to the Present
The New Negroes	Chapter 1. Introduction: The New Negro 	African American Studies	African American History: From Emancipation to the Present
The New Negroes	Chapter 2. J. Edgar Hoover 	African American Studies	African American History: From Emancipation to the Present
The New Negroes	Chapter 3. Marcus Garvey and J. Edgar Hoover 	African American Studies	African American History: From Emancipation to the Present
The New Negroes	Chapter 4. Marcus Garvey, W.E.B. Du Bois and A. Philip Randolph 	African American Studies	African American History: From Emancipation to the Present
The New Negroes	Chapter 5. Marcus Garvey and Father Divine 	African American Studies	African American History: From Emancipation to the Present
The New Negroes (continued)	Chapter 1. Countee Cullen Poem: “Heritage” 	African American Studies	African American History: From Emancipation to the Present
The New Negroes (continued)	Chapter 2. Gwendolyn Bennett Poem: “Heritage” 	African American Studies	African American History: From Emancipation to the Present
The New Negroes (continued)	Chapter 3. The New Negro Renaissance 	African American Studies	African American History: From Emancipation to the Present
The New Negroes (continued)	Chapter 4. The White Patrons’ Fascination with Black Cultural Performance and Ability 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V	Chapter 1. Introduction: The Great Depression 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V	Chapter 2. The New Deal 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V	Chapter 3. The Black Cabinet 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V	Chapter 4. The Scottsboro Boys 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V	Chapter 5. The New Negro Alliance 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V (continued)	Chapter 1. The National Negro Congress 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V (continued)	Chapter 2. The Marian Anderson Easter Sunday Concert 	African American Studies	African American History: From Emancipation to the Present
Depression and Double V (continued)	Chapter 3. A. Philip Randolph and the March on Washington Movement 	African American Studies	African American History: From Emancipation to the Present
The Road to Brown and Little Rock	Chapter 1. A Tallying of the State of Segregation in 1951 	African American Studies	African American History: From Emancipation to the Present
The Road to Brown and Little Rock	 	African American Studies	African American History: From Emancipation to the Present
The Road to Brown and Little Rock	Chapter 3. The Fair Employment Practices Committee 	African American Studies	African American History: From Emancipation to the Present
The Road to Brown and Little Rock	Chapter 4. The March on Washington Movement and the Congress on Racial Equality 	African American Studies	African American History: From Emancipation to the Present
The Road to Brown and Little Rock	Chapter 5. Politics in the 1940s: A Period of Transition and War 	African American Studies	African American History: From Emancipation to the Present
The Road to Brown and Little Rock	Chapter 6. Legal Transformations in the 1940s: Brown v. Board of Education 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights	Chapter 1. Narratives of the Civil Rights Movement: Rosa Parks 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights	Chapter 2. Narratives of the Civil Rights Movement: Emmett Till 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights	Chapter 3. Narratives of the Civil Rights Movement: The Little Rock Nine 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights	Chapter 4. Narratives of the Civil Rights Movement: Martin Luther King, Jr 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights (continued)	Chapter 1. Introduction 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights (continued)	Chapter 2. Martin Luther King: “Letter from Birmingham Jail” 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights (continued)	Chapter 3. John Kennedy Pushes for a Civil Rights Bill 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights (continued)	Chapter 4. The March on Washington for Jobs and Freedom 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights (continued)	Chapter 5. Martin Luther King, Jr: “I Have a Dream” 	African American Studies	African American History: From Emancipation to the Present
From Sit-Ins to Civil Rights (continued)	Chapter 6. Final Thoughts 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts	Chapter 1. Introduction: Reframing the Civil Rights Movement Iconic Figures 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts	Chapter 2. A Sampling of Malcolm X’s Famous Rhetoric 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts	Chapter 3. What was Unique about Malcolm X? 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts	Chapter 4. Who was Malcolm X? 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts	Chapter 5. Malcolm X Breaks Away from the Nation of Islam 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts	Chapter 6. Malcolm X’s Legacy 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts (continued)	Chapter 1. Mississippi Freedom Summer 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts (continued)	Chapter 2. Martin Luther King, Jr Advocates a New Voter Registration Drive 	African American Studies	African American History: From Emancipation to the Present
From Voting Rights to Watts (continued)	Chapter 3. The Voting Rights Act of 1965 	African American Studies	African American History: From Emancipation to the Present
Black Power	Chapter 1. Introduction 	African American Studies	African American History: From Emancipation to the Present
Black Power	Chapter 2. James Meredith, Stokely Carmichael and the March against Fear 	African American Studies	African American History: From Emancipation to the Present
Black Power	Chapter 3. The Black Panther Party for Self-Defense 	African American Studies	African American History: From Emancipation to the Present
Black Power	Chapter 4. ‘The Panthers’ Lose Popularity 	African American Studies	African American History: From Emancipation to the Present
Black Power (continued)	Chapter 1. The Students National Coordinating Committee 	African American Studies	African American History: From Emancipation to the Present
Black Power (continued)	Chapter 2. Martin Luther King, Jr’s Poverty Campaign in Chicago 	African American Studies	African American History: From Emancipation to the Present
Black Power (continued)	Chapter 3. Martin Luther King, Jr’s Views on Vietnam 	African American Studies	African American History: From Emancipation to the Present
Black Power (continued)	Chapter 4. The Riots after Martin Luther King, Jr’s 1968 Assassination 	African American Studies	African American History: From Emancipation to the Present
Black Power (continued)	Chapter 5. The Poor People’s Campaign 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 1. Events Surrounding the Invasion of Cambodia 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 2. Marvin Gaye Album: “What’s going on?” 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 3. Shaft: The Celebration of Black Masculinity, Virility, and Culture 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 4. Blaxploitation Film: “Sweet Sweetback’s Badasssss Song” 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 5. Blaxploitation Film: “Super Fly” 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 6. Blaxploitation Film: “Foxy Brown” 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture	Chapter 7. Stevie Wonder 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture (continued)	Chapter 1. A Very Modern Articulation of a New Black Feminism 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture (continued)	Chapter 2. The Negro Family: The Case for National Action 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture (continued)	Chapter 3. Johnnie Tillman: “Welfare is a Woman’s Issue” 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture (continued)	Chapter 4. Milestones in the World of Politics 	African American Studies	African American History: From Emancipation to the Present
The Politics of Gender and Culture (continued)	Chapter 5. Shirley Chisholm Declares her Candidacy for President 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 1. Introduction: The Political Biography of Jesse Jackson 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 2. Jesse Jackson Forms Operation Breadbasket 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 3. Jesse Jackson Forms Operation PUSH 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 4. Jesse Jackson Runs for President 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 5. The Political and Social Milieu around President Nixon and Ford’s Administrations 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 6. The Political and Social Milieu around President Jimmy Carter’s Administration 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics	Chapter 7. The Political and Social Milieu around President Ronald Reagan’s Administration 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 1. The Political Rhetoric from the George H.W. Bush/Michael Dukkakis Campaigns 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 2. Bernhand Goetz, the “Subway Vigilante” 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 3. The Willie Horton Advertisement 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 4. The Carjacking of Charles Stuart 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 5. The Central Park Jogger 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 6. Senator Jesse Helms’ “Angry Hands” Advertisement 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 7. The Rodney King Beating 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 8. The Murder of Latasha Harlins by a Korean Shopkeeper 	African American Studies	African American History: From Emancipation to the Present
Public Policy and Presidential Politics (continued)	Chapter 9. The Clarence Thomas/Anita Hill Controversy 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race?	Chapter 1. Bill Clinton and Lani Guinier 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race?	Chapter 2. The Passage of Propositions 187 and 209 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race?	Chapter 3. Shaw v. Reno 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race?	Chapter 4. Adarand v. Peña and Hopwood v. Texas 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race?	Chapter 5. Grutter v. Bollinger 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race? (continued)	Chapter 1. Introduction and Synthesizing Material Covered So Far 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race? (continued)	Chapter 2. Barack Obama: The First African American President 	African American Studies	African American History: From Emancipation to the Present
Who Speaks for the Race? (continued)	Chapter 3. How is Race Used? 	African American Studies	African American History: From Emancipation to the Present
Introduction	Chapter 1. Class Logistics 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 2. Three Analytic Scales 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 3. Hemingway’s Global Vision of American Literature 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 4. Faulkner’s Narrative Experiments of Modernism 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 5. Fitzgerald’s Sensory Details 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 6. Cross-Scale Analysis of World War I 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 7. Narrative Problems of War 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 8. Linguistic Legacies of War 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 9. The Ironies of Storytelling after World War I: Hemingway and Fitzgerald 	American Studies	Hemingway, Fitzgerald, Faulkner
Introduction	Chapter 10. Utopian View of War: Faulkner 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	 Publication History 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time		American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	Chapter 3. A Possible Cluster 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	Chapter 4. Theoretical Perspectives on Pain 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	Chapter 5. A Close Reading of “Indian Camp” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	Chapter 6. A Close Reading of “Chapter II” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	Chapter 7. A Close Reading of “The Doctor and the Doctor’s Wife” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time	Chapter 8. Meditations on Pain and Violence in the Proposed Cluster 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 1. New Clusters and Analytic Frameworks 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 2. Chapter Seven and “Soldier’s Home” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 3. Chapter Nine and “Mr. and Mrs. Elliot” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 4. The Logic of Substitution 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 5. Chapter Ten and “Cat in the Rain” 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 6. Emotional Resolution in Hemingway 	American Studies	Hemingway, Fitzgerald, Faulkner
Hemingway's In Our Time, Part II	Chapter 7. Chapter Twelve and “Big Two-Hearted River” 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 1. Maxwell Perkins and the “Vagueness” of Gatsby 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 4. The Animation of the Inanimate 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 5. The Human and the Machine 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 6. The Telephone 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 7. The Automobile 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 8. Race and the Automobile 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby	Chapter 9. Death and the Automobile 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 2. Cross-Mapping Visual and Auditory Fields 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 3. Auditory Field with Color 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 4. Visual Field with Noise 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 5. Thematic Implications of Visual-Auditory Coupling for Daisy and Jordan 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 6. Thematic Coupling of Nick and Gatsby 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 7. Extinguishing Sound for Nick and Gatsby 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 8. Thematic Divergence between Nick and Gatsby 	American Studies	Hemingway, Fitzgerald, Faulkner
Fitzgerald's The Great Gatsby, Part II	Chapter 9. The Logic of Substitution for Nick Carraway 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 1. Images of Faulkner’s Oxford, Mississippi 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury		American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 3. Mental Retardation as Innocence in Benjy’s Section 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 4. Faulkner and John Locke 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 5. Taxonomies of Mental Deficiency 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury		American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 7. Freud and the Sense of Smell 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Sexual Innocence 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 9. The Syntactic Consequences of Losing Caddy 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury	Chapter 10. Sheilding Benjy through Narrative 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	 Kinship: Theme and Variation 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 2. The “Tomorrow” of Race: Luster 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 3. The Tomorrow of Race: The Deacon 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 4. Benjy’s Caddy, Quentin’s Caddy 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 5. “Sister” as a Semantic Field 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 6. Conflation of Sisters 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 7. Saint Francis and Little Sister Death 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part II	Chapter 8. Second-hand Tragedy 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 1. Kinship and Variation as Brotherhood 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 2. Scale Enlargement in the Jason Section 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 3. Jason and His Car 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 4. Raymond Williams and Knowable Communities 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 5. Knowable Community in Jefferson 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 6. Unknowable Communities in New York 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 7. Western Union 	American Studies	Hemingway, Fitzgerald, Faulkner
Faulkner's The Sound and the Fury, Part III	Chapter 8. Faulkner’s Sympathy for Jason 	American Studies	Hemingway, Fitzgerald, Faulkner
